[20:47:42] [main/INFO]: Found mod file "endermanoverhaul-neoforge-1.21.1-2.0.3.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "entity_model_features_1.21-neoforge-3.0.12.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "entity_texture_features_1.21-neoforge-7.0.9.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "entityculling-neoforge-1.9.5-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "EW-NeoForge-1.21.1-1.0.0.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "FarmersDelight-1.21.1-1.2.10.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "fast-ip-ping-v1.0.8-mc1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "ferritecore-7.0.3-neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "formations-1.0.4-neoforge-mc1.21.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "formationsnether-1.0.5-mc1.21+.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "frightsdelight-neoforge-1.21.1-1.4.6.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "fusion-1.2.12-neoforge-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "fzzy_config-0.7.6+1.21+neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "geckolib-neoforge-1.21.1-4.8.4.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "ghosts-neoforge-1.21.1-1.3.2.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "GlitchCore-neoforge-1.21.1-2.1.0.0.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "golemoverhaul-neoforge-1.21.1-1.1.0.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "handcrafted-neoforge-1.21.1-4.0.3.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "ImmediatelyFast-NeoForge-1.6.10+1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "immersive_melodies-neoforge-0.6.2+1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "ImmersiveUI-NEOFORGE-0.3.3+1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "interiors-1.21.1-neoforge-0.6.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "iris-neoforge-1.8.12+mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "Item-Obliterator-NeoForge-MC1.21.1-2.3.0.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "Jade-1.21.1-NeoForge-15.10.5.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "jei-1.21.1-neoforge-19.27.0.340.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "justzoom_neoforge_2.1.0_MC_1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "konkrete_neoforge_1.9.9_MC_1.21.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found library file "kotlinforforge-5.11.0-all.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "kubejs-create-neoforge-2101.3.1-build.18.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "kubejs-neoforge-2101.7.2-build.348.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "lithium-neoforge-0.15.3+mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "lithostitched-1.6.1-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "lootr-neoforge-1.21.1-1.11.36.117.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "mcw-bridges-3.1.2-mc1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "mcw-doors-1.1.5-mc1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "mcw-furniture-3.4.1-mc1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "mcw-holidays-1.1.2-mc1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "mcw-lights-1.1.5-mc1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "mcw-mcwfences-1.2.1-mc1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "mcw-mcwpaths-1.1.1-mc1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "mcw-trapdoors-1.1.5-mc1.21.1neoforge.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "melody_neoforge_1.0.10_MC_1.21.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "midnightlib-neoforge-1.9.2+1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "modelfix-1.21-1.10.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:42] [main/INFO]: Found mod file "modernfix-neoforge-5.26.1+mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
